city,title,location,price(L),rate_persqft,area_insqft,building_status,last_updated_date
Mumbai,2 BHK Apartment,Borivali West,225.0,16666,1350,Ready to move,2020-01-15
Mumbai,1 BHK Apartment,Borivali West,110.0,18333,600,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Dadar East,622.0,33297,1868,Ready to move,2020-01-16
Mumbai,4 BHK Apartment,Dadar East,866.0,35736,2425,Ready to move,2020-01-16
Mumbai,2 BHK Apartment,Dadar East,370.0,38947,950,Ready to move,2020-01-15
Mumbai,4 BHK Apartment,Dadar East,745.0,36341,2050,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dadar East,340.0,35789,950,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dadar East,325.0,34210,950,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dadar East,335.0,35263,950,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dadar East,345.0,36315,950,Under Construction,2020-01-15
Mumbai,4 BHK Apartment,Dadar East,826.0,26007,3176,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Dadar East,366.0,40131,912,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dadar East,366.0,44634,820,Under Construction,2020-01-15
Mumbai,3 BHK Apartment,Dadar East,700.0,29166,2400,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Dadar West,240.0,29629,810,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Dadar West,275.0,23031,1194,Ready to move,2020-01-24
Mumbai,4 BHK Apartment,Dadar West,850.0,42500,2000,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Dadar West,365.0,25324,1445,Under Construction,2020-01-15
Mumbai,3 BHK Apartment,Dadar West,352.0,24929,1412,Under Construction,2020-02-26
Mumbai,2 BHK Apartment,Dadar West,325.0,33163,980,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Dombivli East,45.0,5813,774,Ready to move,2020-01-15
Mumbai,1 BHK Apartment,Dombivli East,41.0,6307,650,Under Construction,2020-01-15
Mumbai,3 BHK Apartment,Dombivli East,65.7,6989,940,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dombivli East,55.48,6290,882,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dombivli East,55.1,6333,870,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dombivli East,54.97,6318,870,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dombivli East,54.85,6355,863,Under Construction,2020-01-15
Mumbai,1 BHK Apartment,Dombivli East,41.1,6303,652,Under Construction,2020-01-15
Mumbai,1 BHK Apartment,Dombivli East,41.3,6267,659,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dombivli East,41.94,5446,770,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Dombivli East,55.98,6434,870,Under Construction,2020-01-15
Mumbai,1 BHK Apartment,Dombivli East,41.21,6292,655,Under Construction,2020-01-24
Mumbai,1 BHK Apartment,Dombivli East,30.0,5000,600,Ready to move,2020-01-24
Mumbai,1 BHK Apartment,Dombivli East,24.02,4071,590,Ready to move,2020-01-24
Mumbai,1 BHK Apartment,Dombivli East,34.5,6217,555,Ready to move,2020-01-16
Mumbai,1 RK Studio Apartment,Dombivli East,11.35,3661,310,Ready to move,2020-01-24
Mumbai,1 BHK Apartment,Dombivli West,40.0,7692,520,Ready to move,2020-01-15
