city,title,location,price(L),rate_persqft,area_insqft,building_status,last_updated_date
Mumbai,3 BHK Apartment,Andheri East,312.0,22694,1377,Ready to move,2019-09-19
Mumbai,2 BHK Apartment,Andheri East,160.0,17777,900,Ready to move,2019-10-16
Mumbai,1 BHK Apartment,Andheri East,110.0,17322,635,Ready to move,2019-09-11
Mumbai,1 BHK Apartment,Andheri East,37.0,16444,225,Ready to move,2019-11-11
Mumbai,2 BHK Apartment,Andheri East,180.0,18000,1000,Ready to move,2019-11-11
Mumbai,3 BHK Apartment,Andheri West,275.0,22916,1200,Ready to move,2019-10-16
Mumbai,2 BHK Apartment,Andheri West,180.0,24000,750,Ready to move,2019-10-16
Mumbai,3 BHK Apartment,Andheri West,300.0,16741,1792,Ready to move,2019-10-16
Mumbai,2 BHK Apartment,Andheri West,258.0,24431,1056,Under Construction,2019-10-11
Mumbai,2 BHK Apartment,Bandra East,400.0,36363,1100,Ready to move,2019-10-16
Mumbai,1 BHK Apartment,Bandra East,82.0,19617,418,Under Construction,2019-11-29
Mumbai,2 BHK Apartment,Bandra East,157.0,18847,833,Under Construction,2019-11-29
Mumbai,3 BHK Apartment,Bandra East,545.0,34062,1600,Under Construction,2019-11-19
Mumbai,2 BHK Apartment,Bandra East,350.0,29166,1200,Under Construction,2019-11-19
Mumbai,1 BHK Apartment,Bandra East,125.0,32467,385,Ready to move,2019-12-13
Mumbai,1 BHK Apartment,Bandra East,82.0,19617,418,Under Construction,2019-11-23
Mumbai,2 BHK Apartment,Bandra East,157.0,18847,833,Under Construction,2019-11-23
Mumbai,1 BHK Apartment,Bandra East,110.0,27500,400,Ready to move,2019-11-26
Mumbai,4 BHK Apartment,Bandra West,950.0,43181,2200,Ready to move,2019-10-14
Mumbai,2 BHK Apartment,Bandra West,525.0,41436,1267,Ready to move,2019-05-12
Mumbai,4 BHK Apartment,Bandra West,830.0000000000001,41500,2000,Ready to move,2019-11-28
Mumbai,4 BHK Apartment,Bandra West,1350.0,35526,3800,Ready to move,2019-11-15
Mumbai,3 BHK Apartment,Bandra West,571.0,40785,1400,Ready to move,2019-11-12
Mumbai,2 BHK Apartment,Bandra West,399.0,44333,900,Ready to move,2019-11-12
Mumbai,3 BHK Apartment,Bandra West,595.0,42500,1400,Ready to move,2019-11-12
Mumbai,3 BHK Apartment,Bandra West,649.0,46357,1400,Ready to move,2019-11-12
Mumbai,2 BHK Apartment,Borivali East,119.0,13000,918,Ready to move,2019-09-18
Mumbai,2 BHK Apartment,Borivali East,119.0,11750,1015,Ready to move,2019-09-18
Mumbai,1 BHK Apartment,Borivali East,67.85,10204,665,Ready to move,2019-09-19
Mumbai,1 BHK Apartment,Borivali East,90.0,13846,650,Under Construction,2019-09-09
Mumbai,1 BHK Apartment,Borivali East,80.0,13114,610,Ready to move,2019-10-16
Mumbai,3 BHK Apartment,Borivali East,230.0,15333,1500,Ready to move,2019-09-11
Mumbai,2 BHK Apartment,Borivali West,146.0,12878,1141,Ready to move,2019-09-19
Mumbai,3 BHK Apartment,Borivali West,261.0,14408,1816,Ready to move,2019-09-19
Mumbai,5 BHK Apartment,Borivali West,348.0,14410,2421,Ready to move,2019-09-19
Mumbai,1 BHK Apartment,Borivali West,116.0,15656,745,Ready to move,2019-09-19
Mumbai,2 BHK Apartment,Borivali West,500.0,18518,2700,Under Construction,2019-10-16
Mumbai,2 BHK Apartment,Borivali West,135.0,18194,742,Ready to move,2019-10-16
Mumbai,4 BHK Apartment,Borivali West,450.0,30000,1500,Ready to move,2019-10-11
Mumbai,4 BHK Apartment,Borivali West,450.0,16666,2700,Ready to move,2019-11-11
Mumbai,1 BHK Apartment,Borivali West,6.5,1857,350,Ready to move,2019-11-11
Mumbai,2 BHK Apartment,Borivali West,149.0,22923,650,Ready to move,2019-11-11
Mumbai,3 BHK Apartment,Borivali West,182.0,22750,800,Ready to move,2019-11-11
Mumbai,2 BHK Apartment,Borivali West,149.0,18625,800,Ready to move,2019-11-11
Mumbai,1 BHK Apartment,Borivali West,139.0,46333,300,Ready to move,2019-11-11
Mumbai,2 BHK Apartment,Dadar East,250.0,23000,1090,Ready to move,2019-09-19
Mumbai,2 BHK Apartment,Dadar East,364.0,40944,889,Under Construction,2019-11-14
