title,location,price(L),rate_persqft,area_insqft,building_status
3 BHK Apartment,Kondapur,89,6033,1475,Under Construction
3 BHK Apartment,Kondapur,147,6500,2275,Ready to move
2 BHK Apartment,Kondapur,50.85,4500,1130,Under Construction
2 BHK Apartment,Kondapur,49.5,4495,1101,Under Construction
2 BHK Apartment,Kondapur,49.63,4500,1103,Ready to move
2 BHK Apartment,Kondapur,49.77,4500,1106,Ready to move
2 BHK Apartment,Kondapur,49.68,4500,1104,Ready to move
3 BHK Apartment,Kondapur,72,4500,1600,Under Construction
2 BHK Apartment,Kondapur,50.4,4500,1120,Under Construction
3 BHK Apartment,Kondapur,72.13,4500,1603,Under Construction
2 BHK Apartment,Kondapur,55,4583,1200,Under Construction
2 BHK Apartment,Kondapur,52.8,4400,1200,Under Construction
3 BHK Apartment,Kondapur,72.04,4500,1601,Under Construction
3 BHK Apartment,Kondapur,72.22,4500,1605,Under Construction
2 BHK Apartment,Kondapur,50.17,4500,1115,Under Construction
2 BHK Apartment,Kondapur,25,3015,829,Under Construction
1 BHK Apartment,Kondapur,19,2923,650,Under Construction
2 BHK Apartment,Kondapur,25,3030,825,Under Construction
2 BHK Apartment,Kondapur,32,2909,1100,Under Construction
3 BHK Apartment,Kondapur,31,2818,1100,Under Construction
2 BHK Apartment,Kondapur,24,2874,835,Under Construction
2 BHK Apartment,Kondapur,24.12,2888,835,Under Construction
3 BHK Apartment,Kondapur,32.2,2927,1100,Under Construction
1 BHK Apartment,Kondapur,19.2,2953,650,Under Construction
3 BHK Apartment,Kondapur,31.2,2836,1100,Under Construction
2 BHK Apartment,Kondapur,24.1,2886,835,Under Construction
1 BHK Apartment,Kondapur,19.25,2961,650,Under Construction
1 BHK Apartment,Kondapur,19.25,2830,680,Under Construction
2 BHK Apartment,Kondapur,24.2,2813,860,Under Construction
2 BHK Apartment,Kondapur,24.2,2915,830,Under Construction
Residential Plot,Jubilee Hills,350,14000,2500,Resale
2 BHK Apartment,Jubilee Hills,42,3818,1100,Ready to move
Residential Plot,Jubilee Hills,15,1666,900,New
4 BHK Independent House,Jubilee Hills,200,12077,1656,Ready to move
4 BHK Apartment,Jubilee Hills,376,10000,3760,Under Construction
4 BHK Apartment,Jubilee Hills,378,10000,3780,Under Construction
4 BHK Apartment,Jubilee Hills,387,10000,3870,Under Construction
4 BHK Apartment,Jubilee Hills,445,10000,4450,Under Construction
4 BHK Apartment,Jubilee Hills,391,10000,3915,Under Construction
5 BHK Apartment,Jubilee Hills,710,10000,7100,Under Construction
Residential Plot,Jubilee Hills,1249,16666,7497,Resale
Residential Plot,Jubilee Hills,2000,27777,7200,Resale
4 BHK Apartment,Jubilee Hills,435,10000,4355,Under Construction
5 BHK Apartment,Jubilee Hills,708,10000,7080,Under Construction
5 BHK Apartment,Jubilee Hills,621,10000,6210,Under Construction
5 BHK Apartment,Jubilee Hills,545,10000,5450,Under Construction
4 BHK Apartment,Jubilee Hills,381,10000,3810,Under Construction
4 BHK Apartment,Jubilee Hills,375,9973,3760,Under Construction
3 BHK Apartment,Jubilee Hills,145,6971,2080,Ready to move
3 BHK Apartment,Jubilee Hills,450,12722,3537,Ready to move
3 BHK Apartment,Jubilee Hills,220,11578,1900,Ready to move
3 BHK Apartment,Jubilee Hills,240,7500,3200,Ready to move
3 BHK Apartment,Jubilee Hills,95,5937,1600,Ready to move
2 BHK Apartment,Jubilee Hills,78,6500,1200,Ready to move
4 BHK Independent House,Jubilee Hills,54,4000,1350,Ready to move
3 BHK Apartment,Jubilee Hills,235,9791,2400,Ready to move
3 BHK Apartment,Jubilee Hills,125,7485,1670,Ready to move
4 BHK Apartment,Jubilee Hills,374,9973,3760,Under Construction
4 BHK Apartment,Jubilee Hills,400,9389,4260,Ready to move
4 BHK Apartment,Jubilee Hills,416,9977,4175,Under Construction
4 BHK Apartment,Jubilee Hills,443,9964,4450,Under Construction
2 BHK Apartment,Jubilee Hills,102,7876,1295,Ready to move
2 BHK Apartment,Jubilee Hills,96,7413,1295,Ready to move
5 BHK Villa,Jubilee Hills,600,13333,4500,Ready to move
6 BHK Independent House,Jubilee Hills,120,6000,2000,Ready to move
3 BHK Independent Floor,Jubilee Hills,300,11538,2600,Ready to move
3 BHK Apartment,Jubilee Hills,150,7861,1908,Ready to move
3 BHK Apartment,Jubilee Hills,218,11500,1900,Ready to move
Residential Plot,Jubilee Hills,2500,27777,9000,Resale
3 BHK Apartment,Jubilee Hills,230,12105,1900,Ready to move
3 BHK Apartment,Jubilee Hills,229,12105,1900,Ready to move
6 BHK Apartment,Jubilee Hills,245,10381,2360,Ready to move
4 BHK Apartment,Jubilee Hills,472,10488,4500,Ready to move
1 BHK Independent House,Banjara Hills,32,11111,288,Ready to move
1 BHK Independent House,Banjara Hills,31.99,11111,288,Ready to move
5 BHK Independent House,Banjara Hills,750,30864,2430,Ready to move
3 BHK Independent Floor,Banjara Hills,100,5263,1900,Ready to move
4 BHK Apartment,Banjara Hills,302,9995,3025,Ready to move
3 BHK Apartment,Banjara Hills,200,9661,2070,Ready to move
4 BHK Villa,Banjara Hills,325,6799,4780,Ready to move
Residential Plot,Banjara Hills,2000,11111,18000,Resale
Residential Plot,Banjara Hills,3101,15509,20000,Resale
Residential Plot,Banjara Hills,57,4222,1350,Resale
Residential Plot,Banjara Hills,5.43,411,1323,New
3 BHK Apartment,Banjara Hills,175,8654,2022,Ready to move
4 BHK Apartment,Banjara Hills,450,10000,4500,Ready to move
3 BHK Apartment,Banjara Hills,220,9166,2400,Ready to move
4 BHK Apartment,Banjara Hills,280,9237,3031,Ready to move
2 BHK Apartment,Banjara Hills,30,2870,1045,Under Construction
Residential Plot,Banjara Hills,1000,16173,6183,Resale
3 BHK Apartment,Banjara Hills,120,6857,1750,Ready to move
5 BHK Villa,Banjara Hills,420,9333,4500,Ready to move
3 BHK Apartment,Banjara Hills,210,8477,2477,Under Construction
3 BHK Apartment,Banjara Hills,145,7795,1860,Ready to move
3 BHK Apartment,Banjara Hills,200,10000,2000,Ready to move
2 BHK Apartment,Banjara Hills,215,8514,2525,Ready to move
4 BHK Apartment,Banjara Hills,316,9103,3477,Under Construction
3 BHK Apartment,Banjara Hills,150,6587,2277,Ready to move
4 BHK Independent House,Banjara Hills,205,6833,3000,Ready to move
3 BHK Independent House,Banjara Hills,400,13333,3000,Ready to move
3 BHK Apartment,Banjara Hills,210,8898,2360,Ready to move
4 BHK Independent House,Banjara Hills,410,8200,5000,Ready to move
9 BHK Independent House,Banjara Hills,1300,8965,14500,Ready to move
2 BHK Apartment,Banjara Hills,110,7633,1441,Ready to move
4 BHK Villa,Banjara Hills,600,15000,4000,Ready to move
3 BHK Apartment,Banjara Hills,185,7635,2423,Under Construction
5 BHK Independent House,Banjara Hills,580,11153,5200,Ready to move
3 BHK Apartment,Banjara Hills,225,8910,2525,Ready to move
4 BHK Apartment,Banjara Hills,295,11931,2477,Under Construction
7 BHK Villa,Banjara Hills,1600,16161,9900,Ready to move
3 BHK Apartment,Banjara Hills,139,5090,2750,Ready to move
4 BHK Apartment,Banjara Hills,350,8484,4125,Under Construction
4 BHK Apartment,Banjara Hills,371,9009,4125,Under Construction
3 BHK Apartment,Banjara Hills,290,8340,3477,Under Construction
2 BHK Independent House,Banjara Hills,14,1037,1350,Under Construction
4 BHK Independent House,Banjara Hills,1250,20833,6000,Ready to move
3 BHK Apartment,Banjara Hills,289,8340,3477,Under Construction
3 BHK Apartment,Banjara Hills,120,6000,2000,Ready to move
4 BHK Independent House,Banjara Hills,1250,22321,5600,Ready to move
4 BHK Independent House,Banjara Hills,400,11428,3500,Ready to move
8 BHK Independent House,Banjara Hills,650,8783,7400,Ready to move
4 BHK Apartment,Banjara Hills,240,7476,3210,Ready to move
3 BHK Apartment,Banjara Hills,150,6983,2148,Ready to move
Residential Plot,Banjara Hills,1400,14403,9720,Resale
Residential Plot,Banjara Hills,400,14814,2700,Resale
Residential Plot,Banjara Hills,800,14814,5400,Resale
3 BHK Apartment,Banjara Hills,55,4074,1350,Ready to move
4 BHK Apartment,Banjara Hills,210,8477,2477,Under Construction
4 BHK Apartment,Banjara Hills,290,8340,3477,Under Construction
Residential Plot,Banjara Hills,150,11111,1350,Resale
2 BHK Apartment,Banjara Hills,51,6000,850,Ready to move
4 BHK Independent House,Banjara Hills,1102,24500,4500,Ready to move
2 BHK Independent House,Banjara Hills,450,22500,2000,Ready to move
4 BHK Apartment,Banjara Hills,272,8473,3210,Ready to move
5 BHK Independent House,Banjara Hills,650,14444,4500,Ready to move
3 BHK Apartment,Banjara Hills,215,8600,2500,Ready to move
3 BHK Apartment,Banjara Hills,348,12000,2900,Ready to move
Residential Plot,Miyapur,40,3787,1056,New
2 BHK Apartment,Miyapur,85,7359,1155,Ready to move
2 BHK Independent Floor,Miyapur,75,4749,1579,Ready to move
2 BHK Apartment,Miyapur,50,4000,1250,Under Construction
3 BHK Independent Floor,Miyapur,115,5476,2100,Ready to move
2 BHK Apartment,Miyapur,55,4721,1165,Under Construction
3 BHK Villa,Miyapur,130,6435,2020,Ready to move
8 BHK Independent Floor,Miyapur,150,3333,4500,Ready to move
Residential Plot,Miyapur,14.5,1790,810,New
3 BHK Apartment,Miyapur,44,3066,1435,Under Construction
2 BHK Apartment,Miyapur,48.4,4000,1210,Under Construction
3 BHK Apartment,Miyapur,97,4923,1970,Ready to move
2 BHK Apartment,Miyapur,38.73,2699,1435,Under Construction
3 BHK Apartment,Miyapur,60,3157,1900,Under Construction
2 BHK Apartment,Miyapur,34.54,2699,1280,Under Construction
3 BHK Apartment,Miyapur,43.87,2700,1625,Under Construction
3 BHK Apartment,Miyapur,40.36,2700,1495,Under Construction
2 BHK Apartment,Miyapur,35.91,2700,1330,Under Construction
3 BHK Apartment,Miyapur,52.51,2706,1940,Under Construction
3 BHK Apartment,Miyapur,42.23,2699,1565,Under Construction
2 BHK Apartment,Miyapur,53.2,4000,1330,Under Construction
2 BHK Apartment,Miyapur,32.67,2700,1210,Under Construction
3 BHK Apartment,Miyapur,53,2841,1865,Under Construction
3 BHK Apartment,Miyapur,68.6,4000,1715,Under Construction
3 BHK Apartment,Miyapur,46.3,2700,1715,Under Construction
3 BHK Apartment,Miyapur,52.38,2700,1940,Under Construction
3 BHK Apartment,Miyapur,77.6,4000,1940,Under Construction
3 BHK Apartment,Miyapur,59.8,4000,1495,Under Construction
2 BHK Apartment,Miyapur,32.96,2723,1210,Under Construction
3 BHK Apartment,Miyapur,40.5,2700,1500,Under Construction
2 BHK Apartment,Miyapur,27,2700,1000,Under Construction
3 BHK Apartment,Miyapur,65,4000,1625,Under Construction
3 BHK Apartment,Miyapur,51,2670,1910,Under Construction
2 BHK Apartment,Miyapur,35.1,3500,1003,Ready to move
3 BHK Apartment,Miyapur,35,3500,1000,Ready to move
Residential Plot,Miyapur,82,7765,1056,New
2 BHK Apartment,Miyapur,24.2,2908,832,Under Construction
3 BHK Apartment,Miyapur,65.28,4800,1360,Ready to move
Residential Plot,Miyapur,54,5113,1056,New
Residential Plot,Miyapur,36.5,3456,1056,New
Residential Plot,Miyapur,49,4640,1056,New
2 BHK Apartment,Miyapur,40,3200,1250,Under Construction
2 BHK Apartment,Miyapur,45,4000,1125,Under Construction
2 BHK Apartment,Miyapur,30,5000,600,Under Construction
3 BHK Apartment,Miyapur,108,5615,1925,Ready to move
4 BHK Villa,Miyapur,594,10607,5600,Ready to move
3 BHK Apartment,Miyapur,47.99,2461,1950,Under Construction
2 BHK Apartment,Miyapur,50,4291,1165,Under Construction
Residential Plot,Miyapur,63,466,13500,Resale
3 BHK Apartment,Miyapur,100,5000,2000,Ready to move
2 BHK Apartment,Miyapur,50,4118,1214,Under Construction
2 BHK Apartment,Miyapur,38.99,3481,1120,Under Construction
2 BHK Apartment,Miyapur,40,3827,1045,Under Construction
2 BHK Apartment,Miyapur,54,4635,1165,Under Construction
2 BHK Apartment,Miyapur,42,4158,1010,Ready to move
1 BHK Apartment,Miyapur,33,5840,565,Under Construction
3 BHK Apartment,Miyapur,107,5619,1905,Ready to move
Residential Plot,Miyapur,15,166,9000,New
Residential Plot,Miyapur,15,1666,900,New
Residential Plot,Miyapur,34,3219,1056,New
2 BHK Apartment,Miyapur,63,5526,1140,Under Construction
3 BHK Apartment,Miyapur,95,5555,1710,Under Construction
1 BHK Apartment,Miyapur,21,3230,650,Under Construction
2 BHK Apartment,Miyapur,30,2870,1045,Under Construction
3 BHK Apartment,Miyapur,99,5500,1800,Under Construction
2 BHK Apartment,Miyapur,58,4202,1380,Ready to move
2 BHK Apartment,Miyapur,51,4250,1200,Ready to move
Residential Plot,Miyapur,36,3409,1056,New
Residential Plot,Miyapur,142,6115,2322,New
2 BHK Apartment,Miyapur,36,3214,1120,Under Construction
2 BHK Apartment,Miyapur,56.4,4700,1200,Under Construction
2 BHK Apartment,Miyapur,36.5,3650,1000,Under Construction
2 BHK Apartment,Miyapur,39,3120,1250,Under Construction
3 BHK Apartment,Miyapur,35,2800,1250,Under Construction
3 BHK Apartment,Miyapur,109,5611,1945,Ready to move
3 BHK Apartment,Miyapur,51.43,3428,1500,Under Construction
3 BHK Apartment,Miyapur,82.98,4662,1780,Ready to move
1 BHK Apartment,Miyapur,25.8,4250,607,Under Construction
2 BHK Apartment,Miyapur,71,5469,1298,Under Construction
Residential Plot,Miyapur,210,81395,258,Resale
5 BHK Independent House,Miyapur,200,5000,4000,Ready to move
Residential Plot,Miyapur,80.5,5555,1449,Resale
3 BHK Apartment,Miyapur,86.8,5600,1550,Ready to move
2 BHK Apartment,Miyapur,23,3285,700,Ready to move
2 BHK Apartment,Miyapur,86.92,7304,1190,Ready to move
3 BHK Apartment,Miyapur,107,5616,1920,Ready to move
3 BHK Apartment,Miyapur,37.51,2894,1296,Under Construction
3 BHK Apartment,Miyapur,39.52,3054,1294,Under Construction
2 BHK Apartment,Miyapur,33,2727,1210,Under Construction
2 BHK Apartment,Miyapur,35.46,2931,1210,Under Construction
2 BHK Apartment,Miyapur,72,5546,1298,Under Construction
2 BHK Independent House,Miyapur,195,26000,750,Ready to move
2 BHK Apartment,Miyapur,33,3157,1045,Under Construction
2 BHK Apartment,Miyapur,62,5107,1214,Under Construction
3 BHK Independent House,Miyapur,180,5625,3200,Ready to move
Residential Plot,Miyapur,171,6109,2799,New
Residential Plot,Miyapur,110,6111,1800,New
2 BHK Apartment,Miyapur,35.95,2971,1210,Under Construction
1 BHK Apartment,Miyapur,21,2210,950,Under Construction
2 BHK Apartment,Miyapur,40.74,3898,1045,Under Construction
2 BHK Apartment,Miyapur,60,4942,1214,Under Construction
2 BHK Independent House,Miyapur,130,10000,1300,Under Construction
2 BHK Apartment,Miyapur,76,5960,1275,Ready to move
1 BHK Apartment,Miyapur,25.8,4264,605,Under Construction
2 BHK Apartment,Miyapur,37,3057,1210,Under Construction
2 BHK Independent House,Miyapur,70,4666,1500,Ready to move
2 BHK Apartment,Miyapur,30.2,2889,1045,Under Construction
Residential Plot,Miyapur,6,110,5445,New
2 BHK Apartment,Miyapur,42.18,3800,1110,Ready to move
3 BHK Apartment,Miyapur,52,3525,1475,Under Construction
2 BHK Apartment,Miyapur,42.99,3948,1089,Ready to move
2 BHK Apartment,Miyapur,41.99,3856,1089,Ready to move
2 BHK Apartment,Miyapur,95,8520,1115,Ready to move
2 BHK Apartment,Miyapur,53.5,5360,998,Ready to move
1 BHK Apartment,Miyapur,26,4000,650,Under Construction
2 BHK Apartment,Miyapur,53,4491,1180,Under Construction
2 BHK Apartment,Miyapur,56,4497,1245,Ready to move
3 BHK Apartment,Miyapur,120,6134,1956,Ready to move
Residential Plot,Miyapur,100,38759,258,Resale
Residential Plot,Miyapur,85,4722,1800,Resale
2 BHK Apartment,Miyapur,36,2975,1210,Under Construction
Residential Plot,Miyapur,14,1555,900,New
3 BHK Apartment,Miyapur,89.6,5339,1678,Ready to move
3 BHK Apartment,Miyapur,35.64,2945,1210,Under Construction
3 BHK Apartment,Miyapur,83,4662,1780,Ready to move
Residential Plot,Miyapur,9,165,5445,New
1 BHK Apartment,Miyapur,28,4620,606,Under Construction
3 BHK Apartment,Miyapur,85,5289,1607,Ready to move
1 BHK Apartment,Miyapur,30,5309,565,Under Construction
2 BHK Apartment,Miyapur,63,5189,1214,Under Construction
2 BHK Apartment,Miyapur,50.31,3887,1294,Under Construction
1 BHK Apartment,Miyapur,63,11150,565,Under Construction
2 BHK Apartment,Miyapur,42,4019,1045,Under Construction
3 BHK Apartment,Miyapur,35,2704,1294,Under Construction
3 BHK Apartment,Miyapur,90.49,4750,1905,Under Construction
1 BHK Apartment,Miyapur,33,5436,607,Under Construction
2 BHK Apartment,Miyapur,55,4803,1145,Under Construction
3 BHK Apartment,Miyapur,52,4018,1294,Under Construction
3 BHK Apartment,Miyapur,90,4568,1970,Ready to move
2 BHK Apartment,Miyapur,48,5000,960,Under Construction
2 BHK Apartment,Miyapur,52.42,4500,1165,Ready to move
3 BHK Apartment,Miyapur,36,2975,1210,Under Construction
1 BHK Apartment,Miyapur,30,5000,600,Under Construction
2 BHK Apartment,Miyapur,28,5283,530,Ready to move
2 BHK Apartment,Miyapur,60,5309,1130,Under Construction
2 BHK Apartment,Miyapur,62,5276,1175,Under Construction
2 BHK Apartment,Miyapur,52.5,4906,1070,Under Construction
3 BHK Apartment,Miyapur,100,4761,2100,Under Construction
2 BHK Apartment,Miyapur,30.3,2899,1045,Under Construction
2 BHK Apartment,Miyapur,34,3049,1115,Under Construction
2 BHK Apartment,Miyapur,65,5508,1180,Ready to move
4 BHK Villa,Miyapur,610,10892,5600,Ready to move
3 BHK Apartment,Miyapur,96,6442,1490,Ready to move
2 BHK Apartment,Miyapur,45,5226,861,Under Construction
1 BHK Apartment,Miyapur,25,4118,607,Under Construction
3 BHK Apartment,Miyapur,92.3,5185,1780,Under Construction
3 BHK Apartment,Miyapur,37.51,2899,1294,Under Construction
2 BHK Apartment,Miyapur,38,2934,1295,Under Construction
3 BHK Apartment,Miyapur,126,6567,1925,Ready to move
2 BHK Apartment,Miyapur,31.43,2698,1165,Under Construction
3 BHK Apartment,Miyapur,86,5422,1586,Ready to move
Residential Plot,Miyapur,60,6000,1000,New
2 BHK Apartment,Miyapur,90.75,7174,1265,Ready to move
2 BHK Apartment,Miyapur,39.94,2699,1480,Ready to move
2 BHK Apartment,Miyapur,31.25,2990,1045,Under Construction
1 BHK Apartment,Miyapur,30,4942,607,Ready to move
2 BHK Apartment,Miyapur,31.44,2699,1165,Under Construction
2 BHK Apartment,Miyapur,38.21,2952,1294,Under Construction
2 BHK Apartment,Miyapur,48,5882,816,Ready to move
2 BHK Apartment,Miyapur,43,4134,1040,Ready to move
2 BHK Apartment,Miyapur,42,3500,1200,Under Construction
3 BHK Apartment,Miyapur,56,3500,1600,Under Construction
2 BHK Apartment,Miyapur,59.65,5000,1193,Under Construction
1 BHK Apartment,Miyapur,29.99,5309,565,Under Construction
2 BHK Apartment,Miyapur,62,4133,1500,Ready to move
2 BHK Apartment,Miyapur,37.5,3000,1250,Under Construction
2 BHK Apartment,Miyapur,80.7,7238,1115,Ready to move
3 BHK Apartment,Miyapur,37.51,2898,1294,Under Construction
Residential Plot,Miyapur,4.5,100,4500,New
Residential Plot,Miyapur,4.5,743,605,New
2 BHK Apartment,Miyapur,50.31,3900,1290,Under Construction
Residential Plot,Miyapur,9.94,944,1053,New
2 BHK Apartment,Miyapur,38.28,2958,1294,Under Construction
Residential Plot,Miyapur,84,4666,1800,New
2 BHK Apartment,Miyapur,38.5,3500,1100,Under Construction
2 BHK Apartment,Miyapur,60,6000,1000,Under Construction
1 BHK Apartment,Miyapur,23.44,4150,565,Under Construction
3 BHK Apartment,Miyapur,42,2699,1556,Under Construction
2 BHK Apartment,Miyapur,43,3583,1200,Ready to move
2 BHK Apartment,Miyapur,52,4000,1300,Ready to move
2 BHK Apartment,Miyapur,55.2,4000,1380,Ready to move
Residential Plot,Miyapur,15,10344,145,New
Residential Plot,Miyapur,35,3314,1056,New
2 BHK Apartment,Miyapur,29,3052,950,Under Construction
2 BHK Apartment,Miyapur,80,6666,1200,Ready to move
2 BHK Apartment,Miyapur,38.65,3698,1045,Under Construction
2 BHK Apartment,Miyapur,49.03,4600,1066,Under Construction
2 BHK Apartment,Miyapur,39.59,3399,1165,Ready to move
2 BHK Apartment,Miyapur,60.63,5200,1166,Under Construction
3 BHK Apartment,Miyapur,41.99,2699,1556,Under Construction
3 BHK Apartment,Miyapur,87,5440,1599,Under Construction
2 BHK Apartment,Miyapur,81.82,7338,1115,Ready to move
3 BHK Apartment,Miyapur,91,5112,1780,Under Construction
2 BHK Apartment,Miyapur,43.79,4600,952,Under Construction
2 BHK Apartment,Miyapur,51.1,4600,1111,Under Construction
3 BHK Apartment,Miyapur,79.2,5126,1545,Under Construction
Residential Plot,Miyapur,22.5,1666,1350,New
3 BHK Apartment,Miyapur,57.75,3500,1650,Under Construction
1 BHK Apartment,Miyapur,25.55,4210,607,Under Construction
2 BHK Apartment,Miyapur,35,3043,1150,Under Construction
2 BHK Apartment,Miyapur,32,3062,1045,Under Construction
2 BHK Apartment,Miyapur,43.75,3500,1250,Under Construction
2 BHK Apartment,Miyapur,38,2936,1294,Under Construction
3 BHK Apartment,Miyapur,86,4831,1780,Ready to move
2 BHK Apartment,Miyapur,40.74,3899,1045,Under Construction
3 BHK Apartment,Miyapur,82.99,5341,1554,Ready to move
3 BHK Apartment,Miyapur,85.99,5231,1644,Ready to move
3 BHK Apartment,Miyapur,109,6997,1572,Under Construction
2 BHK Apartment,Miyapur,84.98,7264,1170,Under Construction
3 BHK Apartment,Miyapur,44.53,2845,1565,Ready to move
2 BHK Apartment,Miyapur,72,5581,1290,Under Construction
2 BHK Apartment,Miyapur,59.99,4942,1214,Under Construction
2 BHK Apartment,Miyapur,55.2,4000,1380,Under Construction
1 BHK Apartment,Miyapur,29.99,4942,607,Ready to move
2 BHK Apartment,Miyapur,50.38,4150,1214,Under Construction
3 BHK Apartment,Miyapur,86,5231,1644,Ready to move
3 BHK Apartment,Miyapur,44.99,2892,1556,Under Construction
2 BHK Apartment,Miyapur,44.99,4285,1050,Ready to move
2 BHK Apartment,Miyapur,48,4800,1000,Ready to move
2 BHK Apartment,Miyapur,37,2491,1485,Under Construction
2 BHK Apartment,Miyapur,52.5,4772,1100,Ready to move
2 BHK Apartment,Miyapur,38.27,2958,1294,Under Construction
1 BHK Apartment,Miyapur,24.01,4250,565,Under Construction
2 BHK Apartment,Miyapur,35.73,4150,861,Under Construction
1 BHK Apartment,Miyapur,25.19,4150,607,Under Construction
3 BHK Apartment,Miyapur,88.98,5393,1650,Ready to move
3 BHK Apartment,Miyapur,79.99,5148,1554,Ready to move
2 BHK Apartment,Miyapur,32.65,2699,1210,Under Construction
2 BHK Apartment,Miyapur,35.73,4150,861,Ready to move
3 BHK Apartment,Miyapur,85.98,5106,1684,Ready to move
2 BHK Apartment,Miyapur,76,6333,1200,Ready to move
4 BHK Villa,Miyapur,600,10714,5600,Ready to move
2 BHK Apartment,Miyapur,102,7221,1425,Ready to move
2 BHK Apartment,Miyapur,42.94,3800,1130,Under Construction
2 BHK Apartment,Miyapur,39.14,3800,1030,Under Construction
2 BHK Apartment,Manikonda,99,6305,1570,Ready to move
4 BHK Villa,Manikonda,240,7317,3280,Ready to move
2 BHK Independent Floor,Manikonda,57,3725,1530,Ready to move
5 BHK Independent Floor,Manikonda,375,4464,8400,Ready to move
4 BHK Apartment,Manikonda,400,8510,4700,Ready to move
4 BHK Independent Floor,Manikonda,400,8510,4700,Ready to move
3 BHK Apartment,Manikonda,48,3750,1280,Ready to move
3 BHK Apartment,Manikonda,150,8178,1834,Ready to move
2 BHK Apartment,Manikonda,65,5394,1205,Ready to move
2 BHK Apartment,Manikonda,30,2870,1045,Under Construction
3 BHK Apartment,Manikonda,145,7906,1834,Ready to move
2 BHK Apartment,Manikonda,52.5,5898,890,Ready to move
2 BHK Apartment,Manikonda,50,4545,1100,Ready to move
2 BHK Apartment,Manikonda,45,5000,900,Ready to move
3 BHK Independent House,Manikonda,90,6666,1350,Ready to move
3 BHK Apartment,Manikonda,87.5,5499,1591,Under Construction
3 BHK Apartment,Manikonda,100,5476,1826,Under Construction
3 BHK Apartment,Manikonda,115,5470,2102,Under Construction
3 BHK Apartment,Manikonda,120,6000,2000,Ready to move
3 BHK Apartment,Manikonda,50,3125,1600,Under Construction
3 BHK Apartment,Manikonda,78.55,5000,1571,Under Construction
3 BHK Apartment,Manikonda,95,4523,2100,Under Construction
2 BHK Apartment,Manikonda,32,4000,800,Ready to move
3 BHK Apartment,Manikonda,148,8069,1834,Under Construction
3 BHK Apartment,Manikonda,142,7742,1834,Under Construction
2 BHK Apartment,Manikonda,62,5012,1237,Under Construction
2 BHK Apartment,Manikonda,110,8371,1314,Ready to move
4 BHK Villa,Manikonda,350,10000,3500,Ready to move
3 BHK Apartment,Manikonda,94,4965,1893,Under Construction
3 BHK Apartment,Manikonda,91.84,5600,1640,Under Construction
3 BHK Apartment,Manikonda,89.37,5600,1596,Under Construction
3 BHK Apartment,Manikonda,86.52,5600,1545,Under Construction
3 BHK Apartment,Manikonda,76.72,5600,1370,Under Construction
2 BHK Apartment,Manikonda,69.72,5600,1245,Under Construction
2 BHK Apartment,Manikonda,75.04,5600,1340,Under Construction
2 BHK Apartment,Manikonda,68.88,5600,1230,Under Construction
2 BHK Apartment,Manikonda,64.4,5600,1150,Under Construction
2 BHK Apartment,Manikonda,54.88,5600,980,Under Construction
3 BHK Apartment,Manikonda,148,8069,1834,Ready to move
3 BHK Villa,Manikonda,250,7575,3300,Ready to move
3 BHK Apartment,Manikonda,62,4592,1350,Ready to move
4 BHK Independent House,Manikonda,350,7000,5000,Ready to move
3 BHK Independent House,Manikonda,180,11111,1620,Ready to move
3 BHK Independent House,Manikonda,178,6382,2789,Ready to move
4 BHK Villa,Manikonda,235,7164,3280,Ready to move
3 BHK Independent House,Manikonda,60,7407,810,Ready to move
2 BHK Apartment,Manikonda,59.5,4767,1248,Under Construction
3 BHK Apartment,Manikonda,55,3235,1700,Ready to move
Residential Plot,Manikonda,220,11530,1908,Resale
Residential Plot,Manikonda,100,33333,300,Resale
Residential Plot,Manikonda,175,7777,2250,Resale
Residential Plot,Manikonda,174,7956,2187,Resale
Residential Plot,Manikonda,105,3888,2700,Resale
2 BHK Apartment,Manikonda,65,5000,1300,Ready to move
2 BHK Apartment,Manikonda,62,5166,1200,Ready to move
2 BHK Apartment,Manikonda,70,5185,1350,Ready to move
3 BHK Apartment,Manikonda,89,5562,1600,Ready to move
2 BHK Apartment,Manikonda,65,5909,1100,Ready to move
3 BHK Apartment,Manikonda,75,4373,1715,Ready to move
3 BHK Apartment,Manikonda,150,5769,2600,Ready to move
2 BHK Apartment,Manikonda,65,5158,1260,Ready to move
10 BHK Independent House,Manikonda,360,6000,6000,Ready to move
10 BHK Independent House,Manikonda,320,5517,5800,Ready to move
3 BHK Apartment,Manikonda,98,5444,1800,Ready to move
2 BHK Apartment,Manikonda,99,7534,1314,Ready to move
4 BHK Villa,Manikonda,400,13333,3000,Ready to move
2 BHK Apartment,Manikonda,65,5138,1265,Under Construction
3 BHK Villa,Manikonda,260,7222,3600,Ready to move
5 BHK Villa,Manikonda,400,4819,8300,Ready to move
3 BHK Apartment,Manikonda,105,5007,2097,Ready to move
2 BHK Apartment,Manikonda,80,4848,1650,Under Construction
3 BHK Apartment,Manikonda,155,7380,2100,Under Construction
3 BHK Apartment,Manikonda,75,4545,1650,Ready to move
8 BHK Independent House,Manikonda,330,6600,5000,Under Construction
2 BHK Apartment,Manikonda,45,3982,1130,Ready to move
3 BHK Apartment,Manikonda,64,4848,1320,Under Construction
2 BHK Apartment,Manikonda,62,5000,1240,Under Construction
