,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price_2020,Status,Transaction,Type,PricePerSqft
52,1350,3,3,Semi-Furnished,Lajpat Nagar 2,1,22000000,Ready_to_move,Resale,Builder_Floor,15000
55,1350,3,3,Semi-Furnished,Lajpat Nagar 2,2,32500000,Ready_to_move,New_Property,Builder_Floor,24074
59,900,2,2,Semi-Furnished,Lajpat Nagar 2,1,13500000,Ready_to_move,Resale,Builder_Floor,15778
121,1350,3,3,Semi-Furnished,Lajpat Nagar 2,,22000000,Ready_to_move,Resale,Builder_Floor,
122,1800,3,3,Unfurnished,Lajpat Nagar 2,,28500000,Ready_to_move,New_Property,Builder_Floor,
123,1350,3,3,Semi-Furnished,Lajpat Nagar 2,2,32500000,Ready_to_move,New_Property,Builder_Floor,24074
124,1800,3,3,Semi-Furnished,Lajpat Nagar 2,2,30000000,Ready_to_move,New_Property,Builder_Floor,16667
125,900,2,2,Semi-Furnished,Lajpat Nagar 2,2,13500000,Ready_to_move,Resale,Builder_Floor,16667
127,990,3,2,Furnished,Lajpat Nagar 2,2,15000000,Ready_to_move,Resale,Builder_Floor,16667
128,1350,2,2,Furnished,Lajpat Nagar 2,2,12500000,Ready_to_move,Resale,Builder_Floor,9259
129,900,5,4,Unfurnished,Lajpat Nagar 2,2,22500000,Ready_to_move,Resale,Apartment,9259
130,900,2,2,Unfurnished,Lajpat Nagar 2,2,8000000,Ready_to_move,Resale,Builder_Floor,8889
131,360,1,1,Furnished,Lajpat Nagar 2,2,4000000,Ready_to_move,Resale,Builder_Floor,11111
132,900,2,2,Unfurnished,Lajpat Nagar 2,2,8000000,Ready_to_move,Resale,Builder_Floor,11111
133,900,2,2,Furnished,Lajpat Nagar 2,2,12500000,Ready_to_move,Resale,Builder_Floor,11111
134,990,2,2,Unfurnished,Lajpat Nagar 2,2,12500000,Ready_to_move,Resale,Apartment,12626
137,8,2,2,Furnished,Lajpat Nagar 2,2,9200000,Ready_to_move,Resale,Builder_Floor,1150000
138,900,2,2,Semi-Furnished,Lajpat Nagar 2,2,13400000,Ready_to_move,New_Property,Builder_Floor,1150000
139,900,2,2,Semi-Furnished,Lajpat Nagar 2,2,11000000,Ready_to_move,Resale,Builder_Floor,1150000
140,1000,3,3,Unfurnished,Lajpat Nagar 2,2,15000000,Ready_to_move,New_Property,Builder_Floor,1150000
141,900,2,2,Unfurnished,Lajpat Nagar 2,2,13000000,Ready_to_move,New_Property,Builder_Floor,1150000
142,1650,3,3,Unfurnished,Lajpat Nagar 2,2,25000000,Ready_to_move,New_Property,Builder_Floor,1150000
143,900,2,2,Unfurnished,Lajpat Nagar 2,2,10300000,Ready_to_move,New_Property,Builder_Floor,1150000
144,900,2,2,Semi-Furnished,Lajpat Nagar 2,2,10000000,Ready_to_move,Resale,Builder_Floor,1150000
145,900,2,2,Unfurnished,Lajpat Nagar 2,2,10700000,Ready_to_move,Resale,Apartment,1150000
146,900,2,2,Semi-Furnished,Lajpat Nagar 2,2,10500000,Ready_to_move,Resale,Apartment,1150000
147,900,3,3,Semi-Furnished,Lajpat Nagar 2,2,14500000,Ready_to_move,Resale,Apartment,1150000
148,900,2,2,Unfurnished,Lajpat Nagar 2,2,12000000,Ready_to_move,Resale,Builder_Floor,13333
237,1500,3,2,Semi-Furnished,Sarita Vihar,2,16000000,Ready_to_move,Resale,Apartment,24371
515,1500,3,2,Semi-Furnished,Sarita Vihar,2,16000000,Ready_to_move,Resale,Apartment,24371
689,2100,3,3,Unfurnished,Commonwealth Games Village,2,42100000,Ready_to_move,Resale,Apartment,
690,2650,4,4,Semi-Furnished,Commonwealth Games Village,2,46500000,Ready_to_move,Resale,Apartment,17547
692,2100,3,4,Furnished,Commonwealth Games Village,3,37000000,Ready_to_move,Resale,Apartment,17619
693,2500,4,5,Semi-Furnished,Commonwealth Games Village,3,42500000,Ready_to_move,Resale,Apartment,17000
695,2099,3,3,Semi-Furnished,Commonwealth Games Village,2,36500000,Ready_to_move,Resale,Apartment,17176
696,2105,3,3,Semi-Furnished,Commonwealth Games Village,2,36200000,Ready_to_move,Resale,Apartment,17197
697,2100,3,4,Unfurnished,Commonwealth Games Village,2,38000000,Ready_to_move,Resale,Apartment,17197
699,1850,3,3,Furnished,Commonwealth Games Village,2,45000000,Ready_to_move,Resale,Apartment,5401
700,2032,3,4,Semi-Furnished,Commonwealth Games Village,2,33000000,Ready_to_move,Resale,Apartment,16240
701,2100,3,3,Semi-Furnished,Commonwealth Games Village,2,32500000,Ready_to_move,Resale,Apartment,15476
702,3050,5,5,Unfurnished,Commonwealth Games Village,3,60500000,Ready_to_move,Resale,Apartment,19836
703,2126,3,3,Semi-Furnished,Commonwealth Games Village,2,39000000,Ready_to_move,Resale,Apartment,18344
704,2446,4,5,Furnished,Commonwealth Games Village,3,43700000,Ready_to_move,New_Property,Apartment,17866
706,1850,3,3,Semi-Furnished,Commonwealth Games Village,2,33000000,Ready_to_move,New_Property,Apartment,17837
707,1400,2,3,Unfurnished,Commonwealth Games Village,2,28600000,Ready_to_move,Resale,Apartment,17837
709,2100,3,4,Furnished,Commonwealth Games Village,2,34300000,Ready_to_move,Resale,Apartment,16333
710,3400,5,5,Semi-Furnished,Commonwealth Games Village,2,67000000,Ready_to_move,Resale,Apartment,19705
711,2090,3,4,Semi-Furnished,Commonwealth Games Village,2,44000000,Ready_to_move,Resale,Apartment,21052
712,2525,4,5,Semi-Furnished,Commonwealth Games Village,3,43200000,Ready_to_move,Resale,Apartment,21052
713,1700,3,4,Semi-Furnished,Commonwealth Games Village,3,40000000,Ready_to_move,Resale,Apartment,21052
714,1457,2,3,Semi-Furnished,Commonwealth Games Village,1,29000000,Ready_to_move,New_Property,Apartment,19903
715,2011,3,4,Furnished,Commonwealth Games Village,2,33500000,Ready_to_move,Resale,Apartment,14939
716,2200,4,5,Semi-Furnished,Commonwealth Games Village,2,48000000,Ready_to_move,Resale,Apartment,14939
