,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price_2020,Status,Transaction,Type,PricePerSqft
717,2950,5,5,Semi-Furnished,Commonwealth Games Village,2,55000000,Ready_to_move,Resale,Apartment,18644
719,1200,2,2,Unfurnished,Alaknanda,1,16500000,Ready_to_move,New_Property,Apartment,
720,1300,2,2,Semi-Furnished,Alaknanda,1,14000000,Ready_to_move,Resale,Apartment,10769
721,1150,2,2,Unfurnished,Alaknanda,1,21000000,Ready_to_move,Resale,Apartment,10769
722,700,2,2,Unfurnished,Alaknanda,1,15500000,Ready_to_move,Resale,Apartment,10769
723,1800,3,3,Semi-Furnished,Alaknanda,1,22500000,Ready_to_move,Resale,Apartment,10769
724,1400,3,2,Semi-Furnished,Alaknanda,1,19000000,Ready_to_move,New_Property,Apartment,10769
725,1200,2,2,Semi-Furnished,Alaknanda,1,17500000,Ready_to_move,Resale,Apartment,10769
727,2880,4,4,Semi-Furnished,Alaknanda,2,48000000,Ready_to_move,New_Property,Builder_Floor,10769
728,1600,3,3,Semi-Furnished,Alaknanda,2,19000000,Ready_to_move,Resale,Apartment,11875
729,1280,2,2,Semi-Furnished,Alaknanda,2,15000000,Ready_to_move,New_Property,Apartment,11875
730,1400,2,2,Unfurnished,Alaknanda,1,16500000,Ready_to_move,Resale,Apartment,11875
731,1400,3,3,Semi-Furnished,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,11875
732,1250,2,2,Semi-Furnished,Alaknanda,1,13700000,Ready_to_move,Resale,Apartment,11875
733,1000,2,2,Unfurnished,Alaknanda,1,14000000,Ready_to_move,Resale,Apartment,14000
734,1400,3,2,Unfurnished,Alaknanda,1,19600000,Ready_to_move,New_Property,Apartment,14000
736,1200,2,2,Semi-Furnished,Alaknanda,1,17500000,Ready_to_move,Resale,Apartment,14583
737,1600,3,3,Semi-Furnished,Alaknanda,1,25000000,Ready_to_move,Resale,Apartment,14583
738,2000,3,3,Semi-Furnished,Alaknanda,1,25000000,Ready_to_move,Resale,Apartment,12500
739,1400,3,2,Unfurnished,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,12500
740,1350,3,2,Furnished,Alaknanda,2,14000000,Ready_to_move,New_Property,Apartment,12500
741,1650,3,2,Semi-Furnished,Alaknanda,4,23000000,Ready_to_move,Resale,Apartment,12500
742,1250,2,2,Semi-Furnished,Alaknanda,4,16000000,Ready_to_move,Resale,Apartment,12800
743,2400,4,4,Semi-Furnished,Alaknanda,4,15000000,Ready_to_move,Resale,Builder_Floor,6250
744,1250,3,3,Semi-Furnished,Alaknanda,4,20000000,Ready_to_move,New_Property,Apartment,6250
745,968.751,2,2,Semi-Furnished,Alaknanda,2,15000000,Ready_to_move,Resale,Apartment,6250
749,1500,3,2,Semi-Furnished,Sarita Vihar,2,16000000,Ready_to_move,Resale,Apartment,11111
750,950,2,2,Semi-Furnished,Sarita Vihar,2,11500000,Ready_to_move,Resale,Apartment,11111
751,1050,2,2,Semi-Furnished,Sarita Vihar,2,11500000,Ready_to_move,Resale,Apartment,11111
752,1300,3,2,Semi-Furnished,Sarita Vihar,2,16500000,Ready_to_move,Resale,Apartment,11111
753,1050,2,2,Semi-Furnished,Sarita Vihar,2,11000000,Ready_to_move,Resale,Apartment,11111
754,1500,3,2,Semi-Furnished,Sarita Vihar,2,15000000,Ready_to_move,Resale,Apartment,11111
755,1050,2,2,Semi-Furnished,Sarita Vihar,2,12000000,Ready_to_move,Resale,Apartment,11111
756,1450,3,3,Semi-Furnished,Sarita Vihar,2,16500000,Ready_to_move,Resale,Apartment,11111
757,1250,3,2,Semi-Furnished,Sarita Vihar,2,16000000,Ready_to_move,Resale,Apartment,11111
758,1450,3,2,Semi-Furnished,Sarita Vihar,2,18500000,Ready_to_move,Resale,Apartment,11111
759,1500,3,2,Semi-Furnished,Sarita Vihar,2,14000000,Ready_to_move,Resale,Apartment,11111
760,1500,3,2,Semi-Furnished,Sarita Vihar,2,18500000,Ready_to_move,Resale,Apartment,11111
761,1250,3,2,Semi-Furnished,Sarita Vihar,2,15700000,Ready_to_move,Resale,Apartment,11111
762,1350,3,3,Semi-Furnished,Sarita Vihar,2,14000000,Ready_to_move,Resale,Apartment,11111
763,950,2,2,Semi-Furnished,Sarita Vihar,2,11000000,Ready_to_move,Resale,Apartment,11111
764,1200,3,2,Semi-Furnished,Sarita Vihar,2,13500000,Ready_to_move,Resale,Apartment,11111
765,1150,2,2,Furnished,Sarita Vihar,2,12500000,Ready_to_move,Resale,Apartment,11111
766,1500,4,2,Furnished,Sarita Vihar,2,17500000,Ready_to_move,Resale,Apartment,11111
767,1500,4,2,Furnished,Sarita Vihar,2,17500000,Ready_to_move,Resale,Apartment,11111
768,1050,2,2,Furnished,Sarita Vihar,2,14000000,Ready_to_move,Resale,Apartment,11111
769,1000,2,2,Furnished,Sarita Vihar,2,13000000,Ready_to_move,Resale,Apartment,11111
770,1000,2,2,Furnished,Sarita Vihar,2,11500000,Ready_to_move,Resale,Apartment,11111
771,850,2,2,Furnished,Sarita Vihar,2,8000000,Ready_to_move,Resale,Apartment,11111
772,1500,4,2,Furnished,Sarita Vihar,2,17600000,Ready_to_move,Resale,Apartment,11111
773,1150,2,2,Semi-Furnished,Sarita Vihar,2,11500000,Ready_to_move,Resale,Apartment,11111
774,900,2,2,Unfurnished,Sarita Vihar,2,9500000,Ready_to_move,Resale,Apartment,11111
775,1600,3,2,Unfurnished,Sarita Vihar,2,18000000,Ready_to_move,Resale,Apartment,11111
776,1950,3,3,Unfurnished,Sarita Vihar,2,18100000,Ready_to_move,Resale,Apartment,11111
777,1500,3,2,Unfurnished,Sarita Vihar,2,17500000,Ready_to_move,Resale,Apartment,11111
778,1800,3,2,Unfurnished,Sarita Vihar,2,16000000,Ready_to_move,Resale,Apartment,11111
779,1600,3,2,Unfurnished,Sarita Vihar,2,17000000,Ready_to_move,Resale,Apartment,11111
780,1050,2,2,Unfurnished,Sarita Vihar,2,11000000,Ready_to_move,Resale,Apartment,11111
781,1550,3,2,Semi-Furnished,Sarita Vihar,2,16500000,Ready_to_move,Resale,Apartment,11111
782,1150,2,2,Unfurnished,Sarita Vihar,2,13500000,Ready_to_move,Resale,Apartment,11111
783,1900,4,5,Unfurnished,Sarita Vihar,2,19000000,Ready_to_move,Resale,Apartment,11111
784,1800,3,2,Unfurnished,Sarita Vihar,2,16800000,Ready_to_move,Resale,Apartment,11111
813,850,2,2,Semi-Furnished,Chhattarpur,,3500000,Ready_to_move,New_Property,Builder_Floor,
814,600,2,2,Semi-Furnished,Chhattarpur,1,3500000,Ready_to_move,New_Property,Builder_Floor,
815,1200,3,2,Semi-Furnished,Chhattarpur,1,5500000,Ready_to_move,New_Property,Apartment,
816,990,3,2,Semi-Furnished,Chhattarpur,1,6500000,Ready_to_move,New_Property,Builder_Floor,
817,1800,3,2,Unfurnished,Chhattarpur,4,9000000,Ready_to_move,New_Property,Apartment,
818,1300,3,3,Semi-Furnished,Chhattarpur,4,5000000,Ready_to_move,Resale,Apartment,3845
819,1300,3,3,Semi-Furnished,Chhattarpur,1,4500000,Ready_to_move,New_Property,Builder_Floor,3845
820,1635,3,3,Semi-Furnished,Chhattarpur,2,65000000,Ready_to_move,New_Property,Builder_Floor,3845
821,450,1,1,Semi-Furnished,Chhattarpur,1,1650000,Ready_to_move,New_Property,Builder_Floor,3845
822,1170,3,2,Semi-Furnished,Chhattarpur,1,8500000,Ready_to_move,Resale,Builder_Floor,3845
823,620,2,2,Unfurnished,Chhattarpur,1,4000000,Ready_to_move,Resale,Apartment,3845
824,900,3,3,Unfurnished,Chhattarpur,2,5500000,Ready_to_move,New_Property,Builder_Floor,3845
825,750,2,2,Unfurnished,Chhattarpur,2,3850000,Ready_to_move,New_Property,Apartment,3845
826,1300,3,3,Semi-Furnished,Chhattarpur,1,4000000,Ready_to_move,New_Property,Builder_Floor,3845
827,1100,3,3,Semi-Furnished,Chhattarpur,1,3600000,Ready_to_move,Resale,Builder_Floor,3845
828,1035,3,2,Unfurnished,Chhattarpur,2,5000000,Ready_to_move,New_Property,Builder_Floor,3845
829,1872,3,2,Semi-Furnished,Chhattarpur,2,9000000,Ready_to_move,Resale,Apartment,3845
830,750,2,2,Semi-Furnished,Chhattarpur,2,3500000,Ready_to_move,New_Property,Apartment,3845
831,1400,3,2,Semi-Furnished,Chhattarpur,2,4800000,Ready_to_move,New_Property,Builder_Floor,3845
832,750,2,2,Unfurnished,Chhattarpur,2,3500000,Ready_to_move,New_Property,Builder_Floor,3845
833,2000,4,4,Semi-Furnished,Chhattarpur,2,15000000,Ready_to_move,New_Property,Builder_Floor,3845
834,720,2,2,Semi-Furnished,Chhattarpur,1,3500000,Ready_to_move,Resale,Builder_Floor,3845
835,1300,3,2,Semi-Furnished,Chhattarpur,1,4800000,Ready_to_move,New_Property,Builder_Floor,3692
836,2000,3,4,Semi-Furnished,Chhattarpur,2,58000000,Ready_to_move,New_Property,Apartment,3692
837,750,2,2,Semi-Furnished,Chhattarpur,2,3000000,Ready_to_move,New_Property,Apartment,4000
838,700,2,2,Semi-Furnished,Chhattarpur,2,2150000,Ready_to_move,New_Property,Apartment,4000
839,900,3,2,Semi-Furnished,Chhattarpur,2,7500000,Ready_to_move,New_Property,Apartment,4000
840,810,2,2,Unfurnished,Chhattarpur,2,5500000,Ready_to_move,New_Property,Apartment,4000
954,700,2,2,Semi-Furnished,Dilshad Garden,1,4000000,Ready_to_move,Resale,Apartment,
955,1600,3,2,Unfurnished,Dilshad Garden,1,13500000,Ready_to_move,Resale,Builder_Floor,
957,1800,3,3,Semi-Furnished,Dilshad Garden,1,15000000,Ready_to_move,New_Property,Builder_Floor,8333
958,950,2,2,Semi-Furnished,Dilshad Garden,1,7000000,Ready_to_move,Resale,Apartment,8333
959,1076.39,3,2,Unfurnished,Dilshad Garden,4,9300000,Ready_to_move,Resale,Builder_Floor,8640
960,80,2,2,Unfurnished,Dilshad Garden,4,4500000,Ready_to_move,Resale,Apartment,8640
961,700,2,2,Unfurnished,Dilshad Garden,4,7500000,Ready_to_move,Resale,Apartment,8640
962,405,1,2,Semi-Furnished,Dilshad Garden,4,4000000,Ready_to_move,Resale,Apartment,8640
963,900,2,2,Furnished,Dilshad Garden,4,6800000,Ready_to_move,Resale,Builder_Floor,8640
964,800,2,2,Semi-Furnished,Dilshad Garden,1,7500000,Ready_to_move,Resale,Apartment,9375
965,1700,3,2,Furnished,Dilshad Garden,1,17000000,Ready_to_move,Resale,Apartment,9375
966,430.556,1,1,Unfurnished,Dilshad Garden,1,4300000,Ready_to_move,Resale,Apartment,9375
967,80,2,1,Semi-Furnished,Dilshad Garden,1,8000000,Ready_to_move,New_Property,Apartment,9375
968,1100,3,2,Furnished,Dilshad Garden,1,9500000,Ready_to_move,Resale,Apartment,9375
969,450,1,1,Furnished,Dilshad Garden,1,2700000,Ready_to_move,Resale,Apartment,9375
970,520,2,2,Semi-Furnished,Dilshad Garden,1,9800000,Ready_to_move,Resale,Apartment,18846
971,900,3,2,Semi-Furnished,Dilshad Garden,2,13500000,Ready_to_move,Resale,Apartment,18846
972,700,2,1,Semi-Furnished,Dilshad Garden,2,9000000,Ready_to_move,Resale,Apartment,18846
973,400,1,1,Unfurnished,Dilshad Garden,1,3600000,Ready_to_move,Resale,Builder_Floor,18846
974,750,2,2,Semi-Furnished,Dilshad Garden,1,7000000,Ready_to_move,Resale,Builder_Floor,18846
975,1746,2,2,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,New_Property,Apartment,4009
976,550,1,1,Furnished,Dilshad Garden,1,2800000,Ready_to_move,Resale,Apartment,4009
977,945,3,2,Semi-Furnished,Dilshad Garden,1,9500000,Ready_to_move,Resale,Builder_Floor,10053
978,900,3,2,Furnished,Dilshad Garden,2,6800000,Ready_to_move,Resale,Builder_Floor,10053
979,650,2,2,Semi-Furnished,Dilshad Garden,2,6000000,Ready_to_move,Resale,Builder_Floor,9231
980,650,2,2,Unfurnished,Dilshad Garden,2,5500000,Ready_to_move,Resale,Apartment,9231
981,800,2,2,Semi-Furnished,Dilshad Garden,2,6000000,Ready_to_move,Resale,Apartment,9231
982,800,2,2,Semi-Furnished,Dilshad Garden,1,6000000,Ready_to_move,Resale,Builder_Floor,7500
984,1150,2,2,Furnished,Vasundhara Enclave,1,11000000,Ready_to_move,Resale,Apartment,9565
986,1400,3,3,Semi-Furnished,Vasundhara Enclave,1,12000000,Ready_to_move,Resale,Apartment,9565
987,1400,3,2,Semi-Furnished,Vasundhara Enclave,1,12000000,Ready_to_move,Resale,Apartment,9565
991,1100,3,2,Semi-Furnished,Vasundhara Enclave,1,11000000,Ready_to_move,Resale,Apartment,9565
993,1125,2,2,Semi-Furnished,Vasundhara Enclave,2,8460000,Ready_to_move,Resale,Apartment,7517
997,1000,2,2,Semi-Furnished,Vasundhara Enclave,2,9000000,Ready_to_move,Resale,Apartment,7365
999,1300,3,2,Semi-Furnished,Vasundhara Enclave,1,12000000,Ready_to_move,Resale,Apartment,9231
1000,1000,2,2,Semi-Furnished,Vasundhara Enclave,1,8600000,Ready_to_move,Resale,Apartment,9231
1002,800,2,1,Semi-Furnished,Vasundhara Enclave,1,8500000,Ready_to_move,Resale,Builder_Floor,9286
1003,2000,2,2,Semi-Furnished,Vasundhara Enclave,1,9500000,Ready_to_move,Resale,Builder_Floor,4750
1007,1450,3,2,Semi-Furnished,Vasundhara Enclave,1,11500000,Ready_to_move,Resale,Apartment,8569
1009,1125,2,2,Semi-Furnished,Vasundhara Enclave,1,9000000,Ready_to_move,Resale,Apartment,8000
1157,1200,2,2,Unfurnished,Alaknanda,1,16500000,Ready_to_move,New_Property,Apartment,
1158,1300,2,2,Semi-Furnished,Alaknanda,1,14000000,Ready_to_move,Resale,Apartment,10769
1159,1150,2,2,Unfurnished,Alaknanda,1,21000000,Ready_to_move,Resale,Apartment,10769
1160,700,2,2,Unfurnished,Alaknanda,1,15500000,Ready_to_move,Resale,Apartment,10769
1161,1800,3,3,Semi-Furnished,Alaknanda,1,22500000,Ready_to_move,Resale,Apartment,10769
1162,1400,3,2,Semi-Furnished,Alaknanda,1,19000000,Ready_to_move,New_Property,Apartment,10769
1163,1200,2,2,Semi-Furnished,Alaknanda,1,17500000,Ready_to_move,Resale,Apartment,10769
1165,2880,4,4,Semi-Furnished,Alaknanda,2,48000000,Ready_to_move,New_Property,Builder_Floor,10769
1166,1600,3,3,Semi-Furnished,Alaknanda,2,19000000,Ready_to_move,Resale,Apartment,11875
1167,1280,2,2,Semi-Furnished,Alaknanda,2,15000000,Ready_to_move,New_Property,Apartment,11875
1168,1400,2,2,Unfurnished,Alaknanda,1,16500000,Ready_to_move,Resale,Apartment,11875
1169,1400,3,3,Semi-Furnished,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,11875
1170,1250,2,2,Semi-Furnished,Alaknanda,1,13700000,Ready_to_move,Resale,Apartment,11875
1171,1000,2,2,Unfurnished,Alaknanda,1,14000000,Ready_to_move,Resale,Apartment,14000
1172,1400,3,2,Unfurnished,Alaknanda,1,19600000,Ready_to_move,New_Property,Apartment,14000
1174,1200,2,2,Semi-Furnished,Alaknanda,1,17500000,Ready_to_move,Resale,Apartment,14583
1175,1600,3,3,Semi-Furnished,Alaknanda,1,25000000,Ready_to_move,Resale,Apartment,14583
1176,2000,3,3,Semi-Furnished,Alaknanda,1,25000000,Ready_to_move,Resale,Apartment,12500
1177,1400,3,2,Unfurnished,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,12500
1178,1350,3,2,Furnished,Alaknanda,2,14000000,Ready_to_move,New_Property,Apartment,12500
1179,1650,3,2,Semi-Furnished,Alaknanda,4,23000000,Ready_to_move,Resale,Apartment,12500
1180,1250,2,2,Semi-Furnished,Alaknanda,4,16000000,Ready_to_move,Resale,Apartment,12800
1181,2400,4,4,Semi-Furnished,Alaknanda,4,15000000,Ready_to_move,Resale,Builder_Floor,6250
1182,1250,3,3,Semi-Furnished,Alaknanda,4,20000000,Ready_to_move,New_Property,Apartment,6250
1183,968.751,2,2,Semi-Furnished,Alaknanda,2,15000000,Ready_to_move,Resale,Apartment,6250
